Year,Bananas,"Cassava, fresh","Coffee, green",Tea leaves,avg_temperature,Agrifood Systems Waste Disposal,Burning - Crop residues,Crop Residues,Drained organic soils,Drained organic soils (CO2),Drained organic soils (N2O),Energy,Enteric Fermentation,Fires in humid tropical forests,Fires in organic soils,Food Household Consumption,Food Packaging,Food Processing,Food Retail,Food Transport,Forest fires,Forestland,IPPU,Manure Management,Manure applied to Soils,Manure left on Pasture,Net Forest conversion,On-farm energy use,Other,Pesticides Manufacturing,Rice Cultivation,Savanna fires,Synthetic Fertilizers,Waste
1974,21666.7,5700.0,327.5,1251.7,0.09852941176470588,,22.726319999999998,28.802480000000003,,,,301.7513666666667,1806.71,,,,,,,,,,341.82093333333336,52.98195714285714,27.1639,508.2196,,,0.2518,,28.233999999999998,,27.026425,21.63475
1975,20000.0,5698.4,298.3,2087.6,0.07444117647058823,,22.783679999999997,34.10122,,,,360.6790333333333,1930.78,,,,,,,,,,353.31559999999996,54.85515714285714,27.589520000000004,541.2461599999999,,,0.2645,,31.5419,,16.883225000000003,22.5332
1976,21875.0,5700.5,229.6,1065.9,0.10329411764705883,,22.4304,28.898239999999998,,,,326.74343333333337,2034.9189999999999,,,,,,,,,,372.1209666666667,67.28905714285715,36.83568,568.2292199999999,,,0.2654,,34.1658,,11.0738,23.468149999999998
1977,22222.2,5800.1,228.5,1854.2,0.31708823529411767,,23.1039,29.46216,,,,475.59383333333335,2194.6367999999998,,,,,,,,,,384.8831666666667,73.79370000000002,40.87888,614.7792000000001,,,0.2868,,32.659099999999995,,40.41335,24.30595
1978,21028.0,5801.6,304.8,1896.7,0.20926470588235294,,23.45412,31.515679999999996,,,,629.6879666666667,2274.1252,,,,,,,,,,378.1247,79.32161428571428,44.78376,638.5489600000001,,,0.297,,42.3985,,42.633425,25.191
1979,21008.4,5799.8,282.4,2307.8,0.3479705882352941,,23.569979999999997,31.281599999999997,,,,571.9828333333334,2336.753,,,,,,,,,,406.99423333333334,84.3925,48.69928,653.5088000000001,,,0.3078,,30.504499999999997,,39.30995,26.13785
1980,20992.4,5900.1,301.4,2043.4,0.3410294117647059,,21.23232,31.39864,,,,1285.3322333333333,2682.6138,,,,,,,,,,407.8985333333333,92.97157142857142,52.50840000000001,740.91638,,,0.3194,,25.9426,,44.521175,27.9144
1981,21001.1,5899.7,298.7,1728.3,0.20220588235294118,,18.94632,31.292219999999997,,,,1789.6465333333333,2714.9442,,,,,,,,,,421.17706666666663,89.33067142857143,49.09296,745.3107200000001,,,0.329,,28.5,,45.917025,30.03745
1982,21001.6,6001.1,342.3,1838.6,0.16144117647058823,,20.0445,36.81442,,,,2140.9238333333333,2528.2426,,,,,,,,,,424.79063333333335,78.00827142857143,41.52792000000001,695.93048,,,2.0334,,36.7612,,46.781125,29.19135
1983,25000.0,11431.2,190.6,2203.1,0.2343235294117647,,21.193199999999997,33.04782,,,,2930.7430666666673,2471.1685,,,,,,,,,,432.7019666666667,71.6971,36.86758,683.41784,,,2.2501,,23.223699999999997,,67.812025,30.297449999999998
